subjID,condition,trial,effort_level,rating,ratingRT,effort_time,steps_req,sex,age,frustration_raw,frustration_adjusted,raw_overall,adjusted_overall,effort_trials,rel_liking,rel_value,rel_wanting
15,Wanting,3,High,2,2.844,231.52679000003263,270,Female,22,50,150,365,70,272,Neither,More,Less
15,Wanting,4,Low,3,3.527,48.6657538000145,30,Female,22,50,150,365,70,54,Neither,More,Less
15,Wanting,5,High,2,6.045,216.3383347000345,270,Female,22,50,150,365,70,273,Neither,More,Less
15,Wanting,6,Medium,4,6.738,98.18278849998023,100,Female,22,50,150,365,70,101,Neither,More,Less
15,Wanting,7,High,1,3.951,231.57412140001543,270,Female,22,50,150,365,70,272,Neither,More,Less
15,Wanting,8,Medium,4,7.528,94.14964340004371,100,Female,22,50,150,365,70,103,Neither,More,Less
15,Wanting,9,Low,4,5.959,32.07386750000296,30,Female,22,50,150,365,70,35,Neither,More,Less
15,Wanting,10,Medium,4,7.175,82.1067271999782,100,Female,22,50,150,365,70,109,Neither,More,Less
15,Wanting,11,Low,5,2.576,26.817679700034205,30,Female,22,50,150,365,70,34,Neither,More,Less
15,Wanting,12,High,1,5.228,196.68560629995773,270,Female,22,50,150,365,70,272,Neither,More,Less
15,Wanting,13,Medium,3,3.848,67.54000550002092,100,Female,22,50,150,365,70,105,Neither,More,Less
15,Wanting,14,High,2,3.357,149.26109350001207,270,Female,22,50,150,365,70,273,Neither,More,Less
15,Wanting,15,Low,4,2.514,23.208110600011423,30,Female,22,50,150,365,70,34,Neither,More,Less
15,Wanting,16,High,3,7.922,166.44489350001095,270,Female,22,50,150,365,70,274,Neither,More,Less
15,Wanting,17,Low,5,3.079,22.307636099983934,30,Female,22,50,150,365,70,32,Neither,More,Less
15,Wanting,18,Medium,5,2.482,63.26945690001594,100,Female,22,50,150,365,70,105,Neither,More,Less
17,Wanting,1,Low,3,2.86,19.8537714999984,30,Female,22,25,50,275,61.333333333333336,49,More,More,Neither
17,Wanting,2,Medium,3,1.863,42.247966999944765,100,Female,22,25,50,275,61.333333333333336,105,More,More,Neither
17,Wanting,3,High,3,4.647,117.50106039998354,270,Female,22,25,50,275,61.333333333333336,274,More,More,Neither
17,Wanting,4,Low,3,0.958,11.779519299976528,30,Female,22,25,50,275,61.333333333333336,33,More,More,Neither
17,Wanting,5,High,3,1.905,127.3265142000164,270,Female,22,25,50,275,61.333333333333336,276,More,More,Neither
17,Wanting,6,Medium,3,1.416,47.34540449996712,100,Female,22,25,50,275,61.333333333333336,102,More,More,Neither
17,Wanting,7,High,3,2.135,117.4603735000128,270,Female,22,25,50,275,61.333333333333336,280,More,More,Neither
17,Wanting,8,Medium,3,1.41,52.764615199994296,100,Female,22,25,50,275,61.333333333333336,94,More,More,Neither
17,Wanting,9,Low,3,1.249,18.270095599989872,30,Female,22,25,50,275,61.333333333333336,33,More,More,Neither
17,Wanting,10,Medium,3,1.188,49.266974800033495,100,Female,22,25,50,275,61.333333333333336,103,More,More,Neither
17,Wanting,11,Low,3,2.103,22.930366099986713,30,Female,22,25,50,275,61.333333333333336,52,More,More,Neither
17,Wanting,12,High,3,1.523,136.42225550004514,270,Female,22,25,50,275,61.333333333333336,274,More,More,Neither
17,Wanting,13,Medium,3,1.376,50.09878050000407,100,Female,22,25,50,275,61.333333333333336,106,More,More,Neither
17,Wanting,14,High,3,1.555,143.11826660000952,270,Female,22,25,50,275,61.333333333333336,271,More,More,Neither
17,Wanting,15,Low,3,1.224,20.89067640004214,30,Female,22,25,50,275,61.333333333333336,32,More,More,Neither
