id,qg,cond,Liking,Price
R_3J5jFXESOpPZp6S,3,Liking First,3,4
R_3J5jFXESOpPZp6S,4,Liking First,5,4
R_3J5jFXESOpPZp6S,5,Liking First,4,3
R_3J5jFXESOpPZp6S,6,Liking First,3,1
R_3J5jFXESOpPZp6S,7,Liking First,5,2
R_3J5jFXESOpPZp6S,8,Liking First,3,4
R_3J5jFXESOpPZp6S,9,Liking First,5,3
R_3J5jFXESOpPZp6S,10,Liking First,5,4
R_3J5jFXESOpPZp6S,11,Liking First,3,5
R_3KI4QDPcYSc8P7C,2,Liking First,2,1
R_3KI4QDPcYSc8P7C,3,Liking First,3,3
R_3KI4QDPcYSc8P7C,4,Liking First,3,2
R_3KI4QDPcYSc8P7C,5,Liking First,4,2
R_3KI4QDPcYSc8P7C,6,Liking First,3,3
R_3KI4QDPcYSc8P7C,7,Liking First,1,1
R_3KI4QDPcYSc8P7C,8,Liking First,2,1
R_3KI4QDPcYSc8P7C,9,Liking First,1,1
R_3KI4QDPcYSc8P7C,10,Liking First,3,2
R_3KI4QDPcYSc8P7C,11,Liking First,2,1
R_3dXj6capFAWlpUf,2,Liking First,2,2
R_3dXj6capFAWlpUf,3,Liking First,3,3
R_3dXj6capFAWlpUf,4,Liking First,2,2
R_3dXj6capFAWlpUf,5,Liking First,2,4
R_3dXj6capFAWlpUf,6,Liking First,2,1
R_3dXj6capFAWlpUf,7,Liking First,4,3
R_3dXj6capFAWlpUf,8,Liking First,2,2
R_3dXj6capFAWlpUf,9,Liking First,2,4
R_3dXj6capFAWlpUf,10,Liking First,4,3
R_3dXj6capFAWlpUf,11,Liking First,4,4
R_3fk0U4BfhgbVmsV,2,Liking First,4,2
R_3fk0U4BfhgbVmsV,3,Liking First,4,2
R_3fk0U4BfhgbVmsV,4,Liking First,2,1
R_3fk0U4BfhgbVmsV,5,Liking First,2,2
R_3fk0U4BfhgbVmsV,6,Liking First,3,2
R_3fk0U4BfhgbVmsV,7,Liking First,4,4
R_3fk0U4BfhgbVmsV,8,Liking First,3,1
R_3fk0U4BfhgbVmsV,9,Liking First,3,1
R_3fk0U4BfhgbVmsV,10,Liking First,3,2
